experiment_idx,test_roc_auc,test_accuracy,weights_str,fare_amount,trip_distance,driver_rating,payment_type_Credit Card,payment_type_Debit Card,payment_type_UPI,payment_type_Uber Wallet,payment_type_nan,vehicle_type_Bike,vehicle_type_Go Mini,vehicle_type_Go Sedan,vehicle_type_Premier Sedan,vehicle_type_Uber XL,vehicle_type_eBike,vehicle_type_nan,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,is_rush_hour
239,0.9940586916806535,0.959247311827957,"0.164,0.080,0.033,0.619,0.047,0.056,0.001",2.6276648573738397,-1.5600374055186985,0.4894553408361443,-0.019223682690983478,0.018597683390664317,0.006423126616022952,-0.009019862055403706,0.0,-0.022681886513361955,-0.023327821431113734,0.009197720882160114,-0.024931290762785784,-0.018810094812587733,-0.008566212494199858,0.0,0.5994950801540117,-0.0032739203405814836,-0.009633723501273464,6.242936665479815,6.659385677445772
100,0.9936179650649742,0.9633870967741935,"0.144,0.002,0.671,0.010,0.137,0.005,0.031",1.1190410369284176,-9.188768925221664,0.6849607541172691,-0.012060489999431385,-0.040636765786539776,-0.030177877134540693,-0.02263600384531769,0.0,0.00463646050589742,0.007032452331254957,-0.0044414242764593236,-0.0115567016679199,-0.03983076664308957,0.032357665807799904,0.0,0.024410029328941565,-0.0109165883735325,0.01433404767593308,0.09165932646780771,0.0810749751531337
63,0.9926322377154702,0.9512903225806452,"0.013,0.195,0.018,0.603,0.093,0.050,0.028",2.6793050354047505,-0.4278252675304331,0.873860029025708,0.0004347120827628328,0.004064495022672735,-0.0012981194195478703,-0.005906204050618992,0.0,0.00535842075798364,0.012331759372365482,0.02157078398197784,-0.005146190828955419,0.007149826300369681,0.005409387143806489,0.0,0.5293088523058842,-0.0601729864389639,-0.02194174451126106,6.6427812529644354,7.08125845605724
82,0.9918130221332032,0.9593010752688172,"0.090,0.008,0.651,0.122,0.046,0.078,0.005",0.5162776049375477,-7.726593937688961,0.19529120212696666,0.01717442271650319,-0.009975403741401984,0.014814022893919318,8.816569349678546e-06,0.0,-0.002873129338093919,-0.005547829886927925,-0.0044210362191127945,-0.005417027458403033,-0.006572688310540919,0.01779800290716018,0.0,0.033571016803961934,0.005560165543189816,0.003728991375637345,0.6441124506876424,0.5637267656052491
66,0.991759834365657,0.9513978494623656,"0.686,0.117,0.068,0.016,0.007,0.008,0.099",11.019949407130957,-6.869815116140289,0.03853727838250493,0.012015593687453743,-0.030237075091135834,-0.018935275291540484,-0.015569976123783203,0.0,-0.048182402846862274,-0.02337219095872884,0.012871578291808999,0.01006275671684629,0.024252722319935645,-0.010073984265263316,0.0,0.026759155308302047,-0.0019713295614892717,-0.013444935990950348,0.1412603120008083,0.13168452952593848
260,0.9913314999219721,0.9600537634408602,"0.043,0.040,0.708,0.097,0.006,0.061,0.045",0.4927381675899628,-7.963424195722247,0.035443172278631786,0.029919553115800163,-0.020347040195337,0.012642573603051818,0.014876287421799726,0.0,-0.020752496118187906,-0.023617290937359543,0.003963566566040873,-0.004144571227602263,-0.014553327007618959,-0.004624778538122681,0.0,0.015122325337882136,0.018701196045547274,-0.020879740938586158,0.6154809101751132,0.546466390423168
198,0.9908538060623803,0.9490860215053764,"0.592,0.173,0.094,0.007,0.022,0.054,0.059",10.748785345370475,-6.58004874301305,0.17747097608553078,0.023308227276546314,-0.018443730644765958,-0.02326207880936576,-0.009831989086577852,0.0,-0.04126751424439986,-0.026592244906423715,-0.012354542737330094,-0.008715065041729465,0.018464401528371917,-0.023960337544160347,0.0,0.03810614445848437,0.012444343305754392,-0.031485434794441984,0.06851806592537148,0.07578359687152092
202,0.9894856033272015,0.9446236559139785,"0.156,0.011,0.134,0.016,0.640,0.029,0.013",2.0403791108078786,-4.357053711269489,8.347678709824832,0.0024235145636445554,0.011449481318923184,-0.006102095587616381,0.010535685725550074,0.0,-0.018983998490511553,-0.035743298505226756,-0.02299615451319972,-0.04349336192466054,-0.01804972706149477,-0.0042940723006239774,0.0,0.030361705648836328,-0.03991800708965926,0.027137713129566986,0.20708080382169564,0.19624918448840334
242,0.9891816366277547,0.9434408602150538,"0.466,0.283,0.083,0.051,0.038,0.061,0.019",10.19624693736324,-5.028653326093963,0.2747447450646984,0.003971926875843352,0.0034044764368145325,0.022487250280526224,0.01919799535302506,0.0,-0.01601633023613045,-0.02214166386324006,0.018843237513042895,0.028249985723932253,0.016787032252618,-0.016686545860676985,0.0,0.09811561225639892,-0.04013149565407151,-0.0029559028902614057,0.3703079089865262,0.3823521082848819
28,0.9888196413036858,0.9404838709677419,"0.090,0.058,0.099,0.463,0.244,0.044,0.002",1.7352294447518868,-2.5065034541770728,2.8268182122390835,-0.0029688039344189054,0.01974070032845192,0.0035520102793968143,-0.018405837173260782,0.0,-0.024062672761242604,-0.002893661690561611,-0.004875361771509527,0.00367223980840831,-0.008975612009946045,-0.01038313130152042,0.0,0.8936141066962988,-0.04280911540822327,-0.004472400504692249,4.882036050317855,5.073006689884116
